Race,UseOfForce,Gender,TypeOfArrest,BondAmount,Patrol,Officer,DateTimeOfArrest,SearchConducted,Stopped,Arrest,_SELECTED_CHARGE_1,_SELECTED_CHARGE_2,_SELECTED_CHARGE_3,_SELECTED_CHARGE_4,_SELECTED_CHARGE_5,_SELECTED_CHARGE_6,TimeZone
Hispanic,No,Female,Not listed,32340,D3,Matthew Moon,2021-03-23 20:13:20,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Summoned/Cited,42773,D1,Bonnie Barron,2022-07-15 06:24:19,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Not listed,15635,D3,Alejandro Valenzuela,2022-11-14 05:56:52,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Female,Taken Into Custody,1810,D3,Henry Torres,2022-06-11 22:52:51,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Female,Summoned/Cited,55870,D1,Timothy Jimenez,2022-05-26 22:44:25,No,No,TRUE,Fraud,Forgery,Drug Possession,Robbery,Robbery,Arson,US/Eastern
Hispanic,No,Female,Summoned/Cited,75732,D2,Douglas Chavez,2022-05-24 18:14:07,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Summoned/Cited,70137,D3,Roger Clark,2021-04-01 05:38:55,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,No,Male,Summoned/Cited,60667,D2,Rhonda Lawson,2021-07-31 07:52:49,No,Yes,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Taken Into Custody,40293,D3,Tracy Romero,2021-12-06 20:52:40,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Not listed,8401,D3,Diane Young,2022-03-27 13:14:35,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Summoned/Cited,67561,D1,Caroline Harris MD,2021-04-02 22:52:26,No,No,TRUE,Burglary,Domestic Violence,Burglary,Fraud,Drug Possession,Assault,US/Eastern
Hispanic,No,Male,Taken Into Custody,78653,D1,Monica Roberts,2021-07-07 15:17:40,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Not listed,17582,D3,Alicia Johnson DVM,2021-08-07 13:40:25,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Not listed,66187,D2,Chase Smith,2021-06-13 23:29:38,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Summoned/Cited,50586,D3,Peggy Gutierrez,2021-11-23 13:06:39,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Not listed,37909,D3,Christine Boyd MD,2021-10-17 23:12:56,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Female,Not listed,24784,D3,Charles Gonzalez,2024-02-18 17:55:44,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Not listed,17520,D3,Andrea Herrera,2023-08-11 20:22:39,No,No,TRUE,Nan,Burglary,Theft,Domestic Violence,Domestic Violence,Arson,US/Eastern
Hispanic,No,Male,Summoned/Cited,27130,D2,Jay Mcdaniel,2022-12-15 02:19:33,No,No,TRUE,Forgery,Driving Under the Influence (DUI),Assault,Drug Possession,Theft,Fraud,US/Eastern
Hispanic,No,Male,Not listed,29132,D3,Theresa Perez,2022-01-21 04:31:55,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Summoned/Cited,10210,D1,Eric Harris,2022-03-04 04:47:48,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Taken Into Custody,70330,D1,Ruth Taylor,2023-07-26 14:03:40,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Taken Into Custody,9009,D1,Yolanda Robinson,2021-11-28 20:47:51,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Female,Summoned/Cited,23483,D3,Margaret Francis,2021-04-27 17:17:45,No,No,TRUE,Driving Under the Influence (DUI),Forgery,Robbery,Arson,Assault,Domestic Violence,US/Eastern
Hispanic,No,Male,Summoned/Cited,94581,D3,Michelle Tyler,2022-01-20 07:04:33,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Taken Into Custody,46530,D2,Benjamin Wilson,2023-09-19 21:03:28,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Not listed,82976,D2,Jasmine Mcmahon,2021-08-14 21:41:15,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Not listed,73201,D3,Billy Kennedy,2022-10-31 01:55:02,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Taken Into Custody,98759,D1,Joseph Coffey,2022-06-12 11:47:53,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Not listed,62027,D3,Michael Pearson,2021-04-09 11:29:09,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Not listed,62374,D1,Sara Andrews,2023-09-06 08:34:38,Yes,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Taken Into Custody,28010,D1,Ryan Lane,2022-08-14 03:17:35,No,No,TRUE,Robbery,Driving Under the Influence (DUI),Nan,Theft,Nan,Drug Possession,US/Eastern
Black,Yes,Male,Not listed,83759,D1,James Cohen,2021-11-14 05:19:31,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Taken Into Custody,8826,D1,Brittany Warren,2022-10-13 09:50:35,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Not listed,74298,D2,Nancy Hernandez,2023-03-19 04:49:40,Yes,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Summoned/Cited,82082,D1,Harold Lucero,2024-01-28 18:26:41,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,No,Male,Taken Into Custody,7870,D2,Joseph Spencer,2022-08-01 01:39:45,Yes,No,TRUE,Burglary,Domestic Violence,Robbery,Theft,Robbery,Nan,US/Eastern
Hispanic,No,Female,Summoned/Cited,98954,D1,Michael Martinez,2022-11-16 23:19:33,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Female,Not listed,57698,D1,Rebecca Bradley,2021-10-15 13:30:37,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Taken Into Custody,94780,D3,Annette Aguilar,2023-11-13 12:53:32,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Female,Taken Into Custody,36382,D1,Daniel Thompson,2022-08-10 20:44:07,No,No,TRUE,Robbery,Assault,Driving Under the Influence (DUI),Theft,Forgery,Robbery,US/Eastern
Asian,No,Male,Summoned/Cited,64826,D2,Eric Stout,2022-09-16 18:52:14,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Not listed,365,D2,Stephen Smith,2024-01-05 20:03:19,No,No,TRUE,Arson,Burglary,Drug Possession,Arson,Assault,Domestic Violence,US/Eastern
Black,Yes,Male,Not listed,97383,D3,Stephanie Hernandez,2023-09-29 00:35:35,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Female,Summoned/Cited,59315,D1,Jasmine Jones,2021-11-23 18:21:55,No,No,TRUE,Fraud,Driving Under the Influence (DUI),Driving Under the Influence (DUI),Theft,Nan,Fraud,US/Eastern
Asian,No,Male,Summoned/Cited,42309,D1,Diane Zamora,2023-09-11 08:06:43,No,No,TRUE,Forgery,Domestic Violence,Domestic Violence,Arson,Domestic Violence,Forgery,US/Eastern
White,No,Female,Taken Into Custody,44930,D1,Alexander Thompson,2022-12-11 19:23:13,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Taken Into Custody,30894,D2,Stephanie Weaver,2021-09-05 21:31:46,No,Yes,TRUE,Fraud,Forgery,Domestic Violence,Arson,Drug Possession,Theft,US/Eastern
Black,Yes,Female,Taken Into Custody,11165,D2,Chris Armstrong,2022-12-06 03:57:36,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Female,Taken Into Custody,78384,D2,Sarah Johnson,2023-05-17 02:50:32,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Not listed,1676,D2,Jasmine Ramos,2023-04-10 07:20:25,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,No,Male,Summoned/Cited,84262,D2,Alison Fuller,2023-11-24 10:40:14,No,No,TRUE,Theft,Nan,Assault,Driving Under the Influence (DUI),Forgery,Theft,US/Eastern
Asian,No,Male,Not listed,23283,D3,Jacqueline Edwards,2021-08-09 05:18:44,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Taken Into Custody,46015,D3,Amanda Castillo,2021-05-28 03:39:17,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Not listed,66278,D3,Claire Taylor,2023-09-28 14:35:06,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Female,Summoned/Cited,85932,D2,Bruce Wolf,2023-01-10 18:16:32,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Summoned/Cited,60791,D1,Paul Friedman,2023-08-11 00:49:52,No,No,TRUE,Fraud,Assault,Arson,Arson,Domestic Violence,Theft,US/Eastern
Black,Yes,Female,Summoned/Cited,13064,D1,Samantha Vega,2021-06-05 10:30:25,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Taken Into Custody,92255,D1,Melissa Stephens,2022-04-28 21:33:37,No,No,TRUE,Assault,Fraud,Arson,Nan,Robbery,Driving Under the Influence (DUI),US/Eastern
Asian,No,Female,Not listed,82156,D3,Andrew Fritz,2022-01-05 02:38:29,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Female,Summoned/Cited,83502,D3,Kimberly Robinson,2022-03-10 09:33:03,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Not listed,25830,D1,Tina Young,2022-11-03 13:29:03,No,No,TRUE,Burglary,Nan,Nan,Burglary,Burglary,Burglary,US/Eastern
Black,Yes,Female,Summoned/Cited,15385,D1,Shawn Webb,2023-10-29 21:47:35,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Summoned/Cited,61006,D1,Robert Clark,2021-04-18 14:42:35,No,No,TRUE,Burglary,Forgery,Forgery,Arson,Driving Under the Influence (DUI),Assault,US/Eastern
Black,Yes,Female,Summoned/Cited,31192,D3,Francisco Wilson,2023-06-01 05:12:11,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,No,Male,Not listed,70332,D1,Sophia Brewer,2021-11-27 05:28:46,Yes,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Not listed,50105,D1,Tyler Norris,2021-05-21 02:30:01,No,No,TRUE,Forgery,Forgery,Robbery,Assault,Forgery,Driving Under the Influence (DUI),US/Eastern
Black,Yes,Male,Taken Into Custody,47138,D1,Daniel Adams,2021-05-05 06:18:37,No,No,TRUE,Assault,Assault,Burglary,Arson,Assault,Nan,US/Eastern
Black,No,Female,Taken Into Custody,79458,D2,Kimberly Clay,2023-03-13 12:06:17,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Female,Not listed,44910,D1,Anthony Valentine,2023-02-03 09:16:44,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Taken Into Custody,62757,D2,Kelly Cruz,2021-08-18 19:47:35,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Not listed,67207,D1,Michael Fox,2022-07-18 12:06:10,Yes,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Taken Into Custody,32053,D3,Paula Hess,2023-11-07 08:58:35,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Not listed,72021,D1,Robin Flores,2023-08-21 18:57:40,No,No,TRUE,Fraud,Theft,Domestic Violence,Forgery,Burglary,Forgery,US/Eastern
White,No,Male,Summoned/Cited,91231,D2,Andrew Shelton,2023-05-30 21:04:30,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Female,Summoned/Cited,74487,D3,Eric Peterson,2023-07-05 17:22:21,No,No,TRUE,Burglary,Robbery,Theft,Fraud,Robbery,Domestic Violence,US/Eastern
White,No,Female,Summoned/Cited,45225,D1,Todd Johnson,2024-01-13 05:49:39,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Taken Into Custody,28864,D2,John Miller,2024-02-12 22:12:24,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Summoned/Cited,47013,D3,Kelly Dennis,2022-05-29 02:06:14,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Female,Summoned/Cited,46144,D2,Caitlyn Peterson,2022-07-05 11:17:19,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Not listed,83304,D1,Jenna Ayala,2023-06-17 10:25:31,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Not listed,61817,D1,Scott White,2021-11-11 18:09:15,No,No,TRUE,Forgery,Nan,Theft,Nan,Domestic Violence,Forgery,US/Eastern
Asian,No,Female,Summoned/Cited,3727,D1,Christine Cole,2022-11-04 11:42:53,No,No,TRUE,Burglary,Nan,Domestic Violence,Arson,Forgery,Arson,US/Eastern
Asian,No,Male,Summoned/Cited,58819,D3,Sandra Sanchez,2021-11-17 22:45:53,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Female,Taken Into Custody,20657,D3,Tina Medina,2022-01-28 05:58:00,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Female,Not listed,10897,D3,Jonathan Tran,2022-10-11 15:57:38,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Not listed,50299,D2,Mr. Brian Lucas,2021-04-22 18:18:30,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Taken Into Custody,30085,D1,Lori Nelson,2021-08-31 21:53:58,No,No,TRUE,Domestic Violence,Forgery,Fraud,Fraud,Assault,Assault,US/Eastern
Hispanic,No,Male,Summoned/Cited,23581,D2,Timothy Little,2022-11-21 16:50:05,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,Yes,Male,Summoned/Cited,77758,D1,Carlos Shepherd,2021-12-23 05:33:27,Yes,No,TRUE,Drug Possession,Burglary,Driving Under the Influence (DUI),Assault,Driving Under the Influence (DUI),Driving Under the Influence (DUI),US/Eastern
White,No,Male,Summoned/Cited,53263,D1,Johnny Joyce,2023-07-21 23:20:48,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Summoned/Cited,32695,D1,Brenda Garrett,2023-07-26 19:01:00,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Asian,No,Male,Summoned/Cited,83480,D2,Mark Rivas,2024-02-09 09:04:28,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Female,Summoned/Cited,79901,D1,Miranda Anderson DDS,2021-07-07 03:02:40,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,No,Male,Not listed,1500,D2,Robin Santiago,2023-01-28 17:23:05,Yes,Yes,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Male,Taken Into Custody,33526,D1,Michael Huffman,2023-09-29 21:30:35,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Female,Not listed,70,D1,Monica Sherman,2023-08-31 16:45:48,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Female,Not listed,60488,D1,Amy Barrera,2022-06-11 00:21:50,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Summoned/Cited,60180,D1,Tara Martinez,2023-10-02 05:57:04,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Hispanic,No,Female,Summoned/Cited,23401,D1,Joy Wilkins,2023-09-11 00:24:10,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
Black,No,Female,Taken Into Custody,4970,D1,Heather Martinez,2021-10-04 13:47:34,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Female,Not listed,27093,D1,Vickie Rodriguez,2023-04-18 19:05:21,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
White,No,Male,Taken Into Custody,7846,D3,Douglas Dixon,2022-08-16 05:01:52,No,No,TRUE,Driving Under the Influence (DUI),Domestic Violence,Domestic Violence,Fraud,Drug Possession,Robbery,US/Eastern
White,No,Male,Not listed,29090,D1,Eugene Stuart,2021-07-05 05:42:34,No,No,FALSE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,US/Eastern
